0,1,6
0,3,8
0,41,7
0,13,9
0,20,5
0,25,7
0,37,1
0,43,8
1,2,4
1,3,3
1,4,7
2,3,8
2,4,7
2,51,9
2,8,9
2,19,2
2,25,10
2,48,3
3,16,8
3,46,9
3,23,8
3,29,4
3,44,2
4,34,6
4,19,6
4,33,4
4,17,4
5,6,6
5,32,5
5,9,1
5,26,1
6,7,8
6,9,9
6,39,10
6,28,2
7,33,3
7,32,4
7,34,4
8,10,3
8,16,10
9,11,4
9,37,5
9,39,1
9,18,2
10,11,8
10,12,5
10,42,10
10,13,1
11,33,5
11,45,5
11,13,6
11,51,1
11,48,8
12,14,4
12,31,6
12,41,8
13,50,4
13,44,3
14,15,3
14,17,4
14,24,2
14,26,4
14,33,8
14,38,3
15,16,7
15,18,9
15,25,3
16,45,1
16,51,3
16,36,5
16,26,4
17,18,10
17,19,6
17,24,10
17,43,4
17,27,3
18,19,10
18,21,6
18,31,2
18,46,4
19,22,7
19,29,5
19,44,1
20,42,5
20,39,4
21,22,4
21,23,4
21,24,6
22,23,5
22,24,10
22,25,4
22,41,3
23,24,8
23,26,10
23,50,6
24,27,7
24,30,10
24,36,3
25,45,9
25,36,1
26,27,6
27,28,8
27,29,5
27,30,5
28,29,5
28,31,2
28,48,10
29,31,9
29,34,7
29,40,1
29,37,5
30,48,2
30,46,5
30,40,9
31,33,1
31,39,3
32,35,6
32,48,3
32,42,9
33,34,5
33,36,10
34,36,10
34,43,7
34,48,5
35,37,10
35,38,3
35,46,5
36,39,9
36,40,9
36,46,7
37,38,7
37,39,1
38,44,3
38,50,1
39,42,3
39,45,10
40,50,10
41,44,5
42,43,7
42,44,6
42,45,2
42,49,4
43,45,3
45,46,1
45,47,5
45,48,10
46,47,1
46,48,2
46,49,8
47,48,6
47,49,7
47,50,2
48,49,2
49,50,4
49,51,1
50,51,1
