0,1,2
0,2,1
0,3,6
0,4,7
0,5,1
0,6,6
0,7,9
0,8,10
0,9,8
0,10,4
0,11,10
0,12,10
0,13,9
0,14,3
0,15,9
0,16,5
0,18,2
0,19,4
0,20,2
0,21,2
0,23,3
0,26,9
0,30,7
0,32,9
0,35,3
0,36,8
0,41,2
0,42,2
0,44,9
1,9,1
1,10,4
1,11,10
1,12,5
1,14,6
1,18,9
1,19,1
1,20,4
1,21,3
1,22,8
1,23,4
1,25,4
1,26,6
1,30,3
1,34,10
1,38,3
1,39,4
1,40,3
1,41,7
1,43,9
2,13,5
2,15,6
2,16,9
2,18,4
2,19,8
2,29,3
2,31,8
2,35,8
2,39,9
2,42,1
3,9,2
3,10,8
3,12,4
3,15,5
3,28,3
3,30,6
3,34,10
3,38,9
3,44,1
3,45,8
4,9,1
4,10,7
4,11,3
4,17,1
4,25,9
4,42,8
5,9,1
5,10,3
5,11,1
5,12,5
5,13,3
5,14,6
5,15,5
5,16,8
5,17,2
5,18,9
5,20,5
5,24,4
5,28,10
5,29,3
5,31,8
5,33,7
5,34,8
5,36,5
5,37,5
5,39,9
5,42,7
5,43,7
5,44,3
5,45,3
6,9,7
6,10,6
6,12,4
6,17,8
6,22,7
6,25,10
6,27,2
6,37,1
7,9,9
7,10,9
7,11,6
7,12,3
7,14,7
7,15,6
7,21,3
7,22,6
7,40,2
7,42,8
7,43,10
8,9,4
8,11,10
8,13,10
8,14,6
8,16,5
8,19,8
8,20,5
8,21,8
8,22,6
8,23,1
8,24,8
8,25,7
8,27,8
8,28,9
8,31,6
8,32,5
8,33,10
8,35,1
8,37,5
8,38,1
8,40,5
8,46,6
9,10,8
9,11,2
9,12,3
9,13,8
9,14,9
9,15,2
9,16,8
9,17,1
9,19,1
9,22,9
9,26,2
9,27,6
9,28,4
9,29,4
9,30,9
9,31,8
9,34,3
9,36,10
9,37,6
9,38,9
10,11,6
10,13,3
10,14,1
10,15,7
10,19,9
10,20,10
10,21,4
10,41,1
11,12,9
11,13,6
11,16,10
11,17,6
11,18,5
11,21,5
11,22,1
11,24,8
11,25,8
11,27,10
11,29,5
11,31,3
11,32,6
11,39,4
11,43,9
11,45,3
12,13,1
12,14,8
12,17,5
12,20,3
12,22,7
12,23,3
12,24,6
12,25,6
12,26,10
12,30,10
12,32,4
12,38,5
12,40,4
12,43,7
12,44,7
12,45,5
13,16,3
13,18,7
13,19,10
13,21,10
13,23,3
13,30,10
13,33,8
13,41,1
14,15,9
14,16,5
14,23,6
14,27,2
14,29,3
14,33,8
14,34,8
14,35,10
14,37,2
14,39,8
14,41,4
15,17,9
15,18,4
15,19,6
15,26,1
15,27,7
15,36,5
15,39,4
15,40,4
15,41,9
15,44,8
15,45,2
16,17,6
16,18,10
16,22,7
16,27,2
16,40,4
17,24,4
17,43,5
18,20,5
18,24,7
18,25,7
18,26,7
18,27,1
18,34,10
18,35,1
18,36,2
18,37,5
18,38,5
19,20,8
19,24,10
19,28,6
19,31,1
19,35,3
19,36,7
20,21,9
20,25,2
20,29,7
20,31,2
20,45,2
21,23,2
21,26,9
21,28,5
21,32,1
21,46,4
22,23,6
22,39,8
23,24,9
23,26,9
23,28,9
23,29,9
23,30,6
23,35,10
24,33,3
24,37,4
24,41,6
24,46,2
25,29,2
25,32,3
25,34,10
25,35,4
25,36,6
25,43,7
26,40,2
26,42,10
27,28,3
27,32,2
27,36,10
27,40,6
27,45,5
28,30,7
28,33,3
28,45,1
30,31,10
30,33,10
30,34,8
31,32,7
31,38,3
31,46,7
32,33,10
32,41,8
32,46,1
33,38,3
33,42,6
33,43,1
34,39,4
36,37,4
36,42,4
36,44,9
36,46,5
41,44,3
41,46,6
42,44,4
42,46,1
