0,1,2
0,2,6
0,3,2
0,4,5
0,5,2
0,6,5
0,7,4
0,8,3
0,9,5
0,10,2
0,13,10
0,15,7
0,17,2
0,20,3
0,22,8
0,23,1
0,25,9
0,34,6
0,36,6
0,37,10
0,39,2
0,40,4
0,43,4
0,46,8
1,5,10
1,6,4
1,7,6
1,8,3
1,9,7
1,15,5
1,18,2
1,21,9
1,24,6
1,32,9
1,35,3
1,39,3
1,41,4
2,17,7
2,29,4
2,33,10
2,36,1
2,38,2
3,5,9
3,6,3
3,7,4
3,11,6
3,12,7
3,16,10
3,21,7
3,38,3
3,40,8
4,5,6
4,9,10
4,13,2
4,14,9
4,16,4
4,19,4
5,6,6
5,8,8
5,9,10
5,14,3
5,15,2
5,24,6
5,26,4
5,27,5
5,35,4
5,41,7
5,45,10
6,7,10
6,8,4
6,11,9
6,12,9
6,17,6
6,19,7
6,25,3
6,29,9
6,32,6
6,41,7
6,43,5
6,44,10
7,10,1
7,11,8
7,12,3
7,13,6
7,18,5
7,36,1
7,45,5
8,10,10
8,15,4
8,16,10
8,17,9
8,18,2
8,22,5
8,26,7
8,28,7
8,31,7
8,32,5
8,39,2
8,41,8
9,10,10
9,14,4
9,18,5
9,20,1
9,27,8
9,38,7
10,11,3
10,12,6
10,16,6
10,24,7
10,27,1
10,34,5
10,35,10
10,42,2
10,44,8
11,13,4
11,24,7
11,26,10
11,28,1
12,14,10
12,19,5
12,23,8
12,25,2
12,34,3
12,43,7
13,22,7
13,34,10
14,21,5
15,21,8
15,23,4
15,30,5
15,33,1
15,43,6
15,46,1
16,19,7
16,22,2
16,23,8
16,28,2
16,42,2
17,29,6
18,20,6
18,29,8
18,31,7
18,36,3
18,40,3
19,20,8
19,30,10
19,32,10
19,38,4
19,46,6
20,27,4
20,31,8
20,42,10
22,25,6
22,39,4
22,40,3
24,26,7
24,30,8
24,44,4
25,28,8
25,37,9
26,33,8
27,30,9
27,31,9
27,37,5
28,37,7
29,45,10
31,35,5
32,33,3
32,42,1
35,46,10
39,44,1
39,45,10
