0,1,2
0,2,4
0,3,4
0,4,5
0,5,7
0,6,10
0,7,9
0,9,10
0,10,5
0,12,6
0,17,5
0,21,10
0,25,6
0,38,2
0,43,1
0,46,2
1,6,6
1,7,4
1,8,4
1,9,9
1,14,3
1,17,3
1,19,2
1,20,3
1,30,7
1,34,1
1,42,2
2,7,8
2,8,1
2,9,8
2,11,5
2,13,6
2,17,3
2,18,7
2,20,4
2,27,4
2,31,7
2,38,1
2,44,4
3,6,6
3,26,2
3,32,7
3,41,6
3,45,1
4,6,4
4,8,8
4,10,7
4,13,2
4,15,4
4,17,8
4,22,1
4,26,8
4,30,7
4,40,9
4,43,7
5,6,2
5,7,7
5,8,7
5,9,8
5,10,9
5,11,1
5,12,1
5,13,7
5,14,1
5,15,7
5,16,5
5,18,10
5,19,1
5,22,5
5,23,1
5,24,7
5,28,7
5,34,2
5,38,7
6,7,6
6,10,1
6,11,8
6,12,3
6,13,4
6,15,2
6,19,3
6,20,6
6,22,5
6,23,8
6,24,9
6,26,6
6,29,5
6,30,9
6,32,6
6,33,6
6,34,7
6,37,3
6,38,6
6,39,9
6,45,3
6,46,2
7,8,9
7,10,9
7,14,7
7,16,4
7,19,9
7,23,7
7,24,9
7,31,2
7,32,8
7,36,1
7,37,1
8,9,3
8,11,8
8,14,2
8,25,4
8,28,8
8,43,10
9,11,2
9,12,9
9,13,2
9,16,5
9,17,9
9,18,9
9,22,7
9,27,5
9,28,7
9,29,4
9,30,7
9,32,8
9,33,8
9,35,6
9,38,5
10,12,5
10,15,4
10,16,1
10,20,10
10,22,7
10,26,7
10,27,9
10,39,2
10,43,9
11,14,1
11,15,2
11,18,6
11,21,10
11,25,1
11,27,1
11,35,2
11,41,2
11,44,10
11,45,1
12,18,10
12,24,4
12,31,1
12,34,5
12,36,3
12,37,1
12,40,2
13,16,1
13,32,6
14,21,5
14,28,3
14,39,7
14,40,4
15,29,5
16,21,2
16,24,7
16,41,4
17,44,9
18,19,7
18,21,10
18,23,3
18,25,8
18,36,8
18,42,7
19,20,1
19,23,5
19,28,6
19,42,2
19,46,1
21,44,1
21,45,9
22,25,7
22,26,10
22,29,9
22,31,5
22,37,7
22,44,5
24,27,4
24,42,8
24,46,6
25,34,5
25,35,5
25,37,4
26,36,10
27,29,6
27,30,8
27,31,7
27,35,4
27,46,4
28,42,7
29,33,10
29,40,1
29,41,5
30,33,8
31,36,5
31,45,6
32,33,9
33,35,1
33,43,10
34,39,9
35,39,7
39,40,5
39,41,8
