0,1,2
0,29,6
0,28,4
0,19,1
0,24,7
1,3,3
1,24,8
2,3,9
2,4,6
3,4,1
3,5,9
3,13,7
3,29,7
4,5,1
4,18,1
5,6,4
5,7,9
6,23,1
6,26,2
6,17,5
7,8,10
7,9,6
8,9,6
8,10,9
9,10,7
9,11,5
9,22,2
10,12,8
10,21,4
11,12,6
11,28,1
11,19,7
12,14,4
12,15,4
13,14,10
14,15,3
14,16,2
15,17,1
15,29,1
16,17,6
16,18,10
17,18,9
18,19,10
18,20,8
20,22,5
20,28,3
21,22,1
21,23,8
22,24,4
23,24,5
23,25,1
24,25,10
24,26,9
25,26,6
25,27,8
26,27,2
26,28,7
27,28,10
27,29,8
28,29,10
