0,14,3
0,32,8
0,2,6
0,12,8
0,8,2
0,37,10
1,23,9
1,17,2
1,27,9
1,31,1
1,32,3
1,14,8
1,34,2
1,33,8
1,22,2
2,33,4
2,28,1
2,22,3
2,16,8
2,19,9
2,30,2
2,29,7
2,31,7
3,34,6
3,24,5
3,14,5
3,35,8
3,5,6
3,9,3
3,38,3
3,8,3
3,7,3
3,19,7
4,34,8
4,21,6
4,27,9
4,6,7
4,15,8
4,17,9
4,30,9
4,29,2
4,12,9
4,36,7
5,20,2
5,12,3
5,15,2
5,25,10
5,10,7
5,38,8
5,6,5
5,26,8
5,39,6
6,14,2
6,26,8
6,39,3
6,17,9
6,24,10
6,27,3
6,7,8
6,32,2
7,21,8
7,13,2
7,30,8
7,27,9
8,25,8
8,32,10
8,35,2
8,18,4
8,21,8
8,38,4
8,29,9
8,27,6
8,13,9
9,35,1
9,14,1
9,25,7
9,18,10
9,10,7
10,34,7
10,27,6
10,38,7
10,37,10
10,36,9
10,28,2
11,20,2
11,22,1
11,39,10
11,35,8
11,13,3
12,22,8
12,26,6
12,24,10
12,35,7
12,18,7
13,20,3
13,38,2
13,34,5
13,28,7
14,25,5
14,19,3
14,36,3
14,28,6
14,30,4
15,39,2
15,31,1
15,34,6
15,35,8
15,38,5
15,27,6
15,29,5
15,18,2
16,28,5
16,37,7
16,22,7
16,26,4
16,25,7
17,29,2
17,28,1
17,37,1
17,21,2
18,30,4
18,23,4
19,33,3
19,37,2
19,29,8
19,24,7
20,33,5
20,39,6
20,35,5
20,32,2
20,38,8
21,37,8
21,30,9
22,30,10
22,34,1
22,39,8
22,33,5
22,23,8
23,32,10
23,39,5
24,27,4
25,30,10
25,33,9
25,35,10
25,27,6
25,28,8
26,38,3
26,31,6
26,35,5
27,36,8
27,29,3
28,33,6
28,39,7
31,32,1
31,36,10
31,37,6
31,34,3
32,38,3
33,34,3
33,35,10
